cmt_code,cmt_name,,phoenix_name,,official_en,official_fr
ETH,Office of the Conflict of Interest and Ethics Commissioner / Commissariat aux conflits d'intérêts et à l'éthique,,Office of the Conflict of Interest and Ethics Commissioner / Commissariat aux conflits d'intérêts et à l'éthique,,Conflict of Interest and Ethics Commissioner (Office of the),Commissariat aux conflits d'intérêts et à l'étique
EXT,Global Affairs Canada / Affaires mondiales Canada,,Global Affairs Canada / Affaires mondiales Canada,,Global Affairs Canada , Affaires mondiales Canada
FCG,Military Grievances External Review Committee / Comité externe d'examen des griefs militaires,,Military Grievances External Review Committee / Comité externe d'examen des griefs militaires,,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
FDC,Telefilm Canada / Téléfilm Canada,,Telefilm Canada / Téléfilm Canada,,Telefilm Canada,Téléfilm Canada
FIN,Department of Finance Canada / Ministères des Finances,,Department of Finance Canada / Ministères des Finances,,Finance Canada (Department of),"Finances Canada, Ministère des"
FJA,Office of the Commissioner for Federal Judicial Affairs Canada / Commissariat à la magistrature fédérale Canada,,Office of the Commissioner for Federal Judicial Affairs Canada / Commissariat à la magistrature fédérale Canada,,Commissioner for Federal Judicial Affairs Canada (Office of the),Commissariat à la magistrature fédérale Canada
FNA,Financial Consumer Agency of Canada / Agence de la consommation en matière financière du Canada,,Financial Consumer Agency of Canada / Agence de la consommation en matière financière du Canada,,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
FPN,Farm Products Council of Canada / Conseil des produits agricoles du Canada,,Farm Products Council of Canada / Conseil des produits agricoles du Canada,,Farm Products Council of Canada,Conseil des produits agricoles du Canada
FRD,Economic Development Agency of Canada for the Regions of Québec / Agence de développement économique du Canada pour les régions du Québec,,Economic Development Agency of Canada for the Regions of Québec / Agence de développement économique du Canada pour les régions du Québec,,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
GGS,Office of the Secretary to the Governor General / Bureau du secrétaire du gouverneur général,,Office of the Secretary to the Governor General / Bureau du secrétaire du gouverneur général,,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général
GSS,Shared Services Canada / Services partagés Canada,,Shared Services Canada / Services partagés Canada,,Shared Services Canada,Services partagés Canada
GTR,Reg Specific Claims Tribunal / Greffe tribunal revend partic,,Reg Specific Claims Tribunal / Greffe tribunal revend partic,,Reg Specific Claims Tribunal,Greffe tribunal revend partic
HOC,House of Commons (Employees) / Chambre des communes,,House of Commons (Employees) / Chambre des communes,,House of Commons,Chambre des communes
HRC,Canadian Human Rights Commission / Commission canadienne des droits de la personne,,Canadian Human Rights Commission / Commission canadienne des droits de la personne,,Canadian Human Rights Commission,Commission canadienne des droits de la personne
IAN,Crown-Indigenous Relations and Northern Affairs Canada / Relations Couronne-Autochtones et des Affaires du Nord,,Crown-Indigenous Relations and Northern Affairs Canada / Relations Couronne-Autochtones et des Affaires du Nord,,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada
ICA,Canadian Food Inspection Agency / Agence canadienne d'inspection des aliments,,Canadian Food Inspection Agency / Agence canadienne d'inspection des aliments,,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
IDA,Cdn Intern'l Dev Agency / Agence cdn développemnt int'l,,Cdn Intern'l Dev Agency / Agence cdn développemnt int'l,,Canadian International Development Agency,Agence canadienne de développement international
IJC,International Joint Commission (Canadian Section) / Commission mixte internationale (Section canadienne),,International Joint Commission (Canadian Section) / Commission mixte internationale (Section canadienne),,International Joint Commission,Commission mixte internationale
IMC,"Immigration, Refugees and Citizenship Canada / Immigration, Réfugiés et Citoyenneté Canada",,"Immigration, Refugees and Citizenship Canada / Immigration, Réfugiés et Citoyenneté Canada",,"Immigration, Refugees and Citizenship Canada "," Immigration, Réfugiés et Citoyenneté Canada"
INF,Infrastructure Canada / Infrastructure Canada,,Infrastructure Canada / Infrastructure Canada,,Infrastructure Canada,Infrastructure Canada
INT,Office of the Public Sector Integrity Commissioner of Canada / Commissariat à l'intégrité du secteur public du Canada,,Office of the Public Sector Integrity Commissioner of Canada / Commissariat à l'intégrité du secteur public du Canada,,Public Sector Integrity Commissioner of Canada (Office of the),Commissariat à l'intégrité du secteur public du Canada
IOG,Indian Oil and Gas Canada / Pétrole et gaz des Indiens du Canada,,Indian Oil and Gas Canada / Pétrole et gaz des Indiens du Canada,,Indian Oil and Gas Canada,Pétrole et gaz des Indiens du Canada 
IPC,Office of the Information Commissioner of Canada / Commissaire à la protection de la vie privée du Canada,,Office of the Information Commissioner of Canada / Commissaire à la protection de la vie privée du Canada,,Information Commissioner (Office of the),Commissariat à l'information au Canada
IRB,Immigration and Refugee Board / Commission de l'immigration et du statut de réfugié du Canada,,Immigration and Refugee Board / Commission de l'immigration et du statut de réfugié du Canada,,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
IRS,Res Sch Truth and Recon Comm'n / Commission vérité/réconciliat,,Res Sch Truth and Recon Comm'n / Commission vérité/réconciliat,,Truth and Reconciliation Commission of Canada,Commission de vérité et réconciliation du Canada
JUS,Department of Justice / Ministère de la Justice,,Department of Justice / Ministère de la Justice,,Justice Canada (Department of),"Justice Canada, Ministère de la"
LDC,The Leaders' Debates Commission / Commission des débats des chefs,,The Leaders' Debates Commission / Commission des débats des chefs,,The Leaders' Debates Commission,Commission des débats des chefs
LIB,Library of Parliament / Bibliothèque du Parlement,,Library of Parliament / Bibliothèque du Parlement,,Library of Parliament,Bibliothèque du Parlement
LOB,Office of the Commissioner of Lobbying of Canada / Commissariat au lobbying du Canada,,Office of the Commissioner of Lobbying of Canada / Commissariat au lobbying du Canada,,Commissioner of Lobbying of Canada (Office of the),Commissariat au lobbying du Canada
MOT,Transport Canada / Transports Canada,,Transport Canada / Transports Canada,,Transport Canada,Transports Canada
MPA,House of Commons (Members) / Chambre des communes (Députés),,House of Commons (Members) / Chambre des communes (Députés),,House of Commons (Members), Chambre des communes (Députés)
NAR,Canada Revenue Agency / Agence du revenu du Canada,,Canada Revenue Agency / Agence du revenu du Canada,,Canada Revenue Agency,Agence du revenu du Canada
NBC,The National Battlefields Commission / Commission des champs de bataille nationaux,,The National Battlefields Commission / Commission des champs de bataille nationaux,,National Battlefields Commission,Commission des champs de bataille nationnaux
NED,Canadian Northern Economic Development Agency / Agence canadienne de développement économique du Nord,,Canadian Northern Economic Development Agency / Agence canadienne de développement économique du Nord,,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
NFB,National Film Board / L'office national du film du Canada,,National Film Board / L'office national du film du Canada,,National Film Board,Office national du film
NHW,Health Canada / Santé Canada,,Health Canada / Santé Canada,,Health Canada,Santé Canada
NOR,Federal Economic Development Agency for Northern Ontario / Agence fédérale de développement économique pour le Nord de l’Ontario,,Federal Economic Development Agency for Northern Ontario / Agence fédérale de développement économique pour le Nord de l’Ontario,,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l’Ontario
NPA,Northern Pipeline Agency / Administration du pipe-line du Nord,,Northern Pipeline Agency / Administration du pipe-line du Nord,,Northern Pipeline Agency,Administration du pipe-line du Nord
NPB,National Parole Board / Commission des libérations conditionnelles du Canada,,National Parole Board / Commission des libérations conditionnelles du Canada,,Parole Board of Canada,Commission des libérations conditionnelles du Canada
NRA,National Security and Intelligence Review Agency / Office de surveillance des activités en matière de sécurité nationale et de renseignement,,National Security and Intelligence Review Agency / Office de surveillance des activités en matière de sécurité nationale et de renseignement,,National Security Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement
NRC,National Research Council Canada / Conseil national de recherches Canada,,National Research Council Canada / Conseil national de recherches Canada,,National Research Council Canada,Conseil national de recherches Canada
NSE,Science and Engineering Research Canada / Recherches en sciences et en génie Canada,,Science and Engineering Research Canada / Recherches en sciences et en génie Canada,,Natural Sciences and Engineering Research Canada,Conseil de recherches en sciences et en génie Canada
NSI,Secretariat of the National Security and Intelligence Committee of Parliamentarians / Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,,Secretariat of the National Security and Intelligence Committee of Parliamentarians / Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,,National Security and Intelligence Committee of Parliamentarians,Comité des parlementaires sur la sécurité nationale et le renseignement
OCC,Canadian Centre for Occupational Health and Safety / Centre canadien d'hygiène et de sécurité au travail,,Canadian Centre for Occupational Health and Safety / Centre canadien d'hygiène et de sécurité au travail,,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
OCI,Office of the Correctional Investigator / Bureau de l'enquêteur correctionnel,,Office of the Correctional Investigator / Bureau de l'enquêteur correctionnel,,Office of the Correctional Investigator,Bureau de l'enquêteur correctionnel
OLC,Office of the Intelligence Commissioner / Bureau du commissaire au renseignement,,Office of the Intelligence Commissioner / Bureau du commissaire au renseignement,,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
PAY,Canad. Secutity Intl. Service / Service can. renseign sécurit,,Canad. Secutity Intl. Service / Service can. renseign sécurit,,Public Safety,Sécurité publique 
PCH,Department of Canadian Heritage / Patrimoine canadien,,Department of Canadian Heritage / Patrimoine canadien,,Canadian Heritage,Patrimoine canadien
